Length,Beam,Draft,Heading,Asurge,Bsurge,Csurge,R2surge,MAEsurge,Asway,Bsway,Csway,R2sway,MAEsway,Aheave,Bheave,Cheave,R2heave,MAEheave,Aroll,Broll,Croll,R2roll,MAEroll,Apitch,Bpitch,Cpitch,R2pitch,MAEpitch,Ayaw,Byaw,Cyaw,R2yaw,MAEyaw
0.3,0.1,-0.033333333,-180,0.229850918,0.304214325,1.105672804,0.972159001,0.049287535,0.2246913,6.50E-05,0.000617556,0.91773476,4.63E-05,-0.355372197,0.827082551,-10,0.996176508,0.02093486,0.82501154,0.461715836,59.75627986,0.997726306,0.01150899,1801.469369,8.498079544,1.719792316,0.938903803,80.7234973,0.168047523,-4.266517725,278.836745,0.88622681,0.010537402
0.3,0.1,-0.033333333,-135,0.201801047,0.188576765,0.770322313,0.968454963,0.04012176,0.222016349,0.212988777,0.766396624,0.966631706,0.042633846,-0.388563944,0.737209697,-10,0.963556255,0.066252885,134.3021757,9.39901192,31.47071568,0.920690208,8.813838806,1236.923227,8.463045169,1.606349905,0.950719068,48.62194261,215.9770517,12.0597618,36.7424861,0.988479563,6.542060826
0.3,0.1,-0.033333333,-90,0.999927038,-9.42E-05,0.000140089,-0.342317711,5.21E-05,0.150242283,0.145742509,1.117490078,0.989880077,0.022825288,-0.447086958,0.651541727,-10,0.814178595,0.16636562,216.247808,12.90014375,85.61715728,0.915681107,16.6512383,3.055094337,8.471549705,1.92887044,0.863352514,0.211327303,0.760435334,-45.21591506,1369.526513,0.97889739,0.005096908
0.3,0.1,-0.033333333,-45,0.201768338,0.188579795,0.770270967,0.96841944,0.040143998,0.222010772,0.212986796,0.766389659,0.966609045,0.042648562,-0.388535432,0.737184616,-10,0.963457941,0.066253105,134.3161027,9.399327151,31.46832182,0.920755104,8.815158891,1237.670808,8.463587672,1.607801163,0.950668883,48.68807971,215.9548888,12.05911075,36.74214524,0.988497911,6.52867041
0.3,0.1,-0.033333333,0,0.229810974,0.304164344,1.105645562,0.972159204,0.049263333,0.2246913,6.50E-05,0.000617556,0.91773476,4.63E-05,-0.355308687,0.826951385,-10,0.996167711,0.020859251,0.825045579,0.460455404,59.76106337,0.997737434,0.011496341,1802.326685,8.498425302,1.720690581,0.938900393,80.77243172,0.168056072,-4.260882948,278.8332656,0.885873245,0.010576872
0.3,0.1,-0.033333333,45,0.201781461,0.188594455,0.770275067,0.96843352,0.040137826,0.221947599,0.21291355,0.766372939,0.966570703,0.042683788,-0.38847405,0.737235347,-10,0.963543957,0.06616772,134.2620269,9.398696171,31.48070048,0.920676765,8.814537799,1237.673979,8.463598342,1.607844917,0.950656862,48.69579524,216.0173546,12.05915272,36.72838819,0.98852266,6.530573791
0.3,0.1,-0.033333333,90,0.999927038,-9.42E-05,0.000140089,-0.342317711,5.21E-05,0.15020344,0.14573838,1.117411237,0.989863984,0.022888236,-0.446926228,0.651630059,-10,0.814552873,0.16612059,216.236662,12.90372576,85.68263453,0.915700404,16.65926581,3.053962737,8.471412126,1.928942838,0.863284918,0.211292624,0.758127517,-45.11682474,1366.55962,0.978879629,0.005092165
0.3,0.1,-0.033333333,135,0.20180267,0.188577664,0.770324303,0.968453478,0.04012163,0.221953509,0.212913651,0.766380259,0.966576998,0.042684252,-0.388508044,0.737251192,-10,0.963638798,0.066163804,134.2481526,9.398379067,31.48311477,0.920610736,8.813238525,1236.921952,8.463055396,1.606398316,0.950706838,48.62963213,216.0317579,12.05963941,36.73499806,0.988525572,6.522162765
0.3,0.1,-0.066666667,-180,0.249407826,0.349171574,1.092350244,0.962147039,0.055075085,0.249708826,6.77E-05,0.000260629,0.84035617,3.11E-05,-0.433774447,0.87479803,-10,0.748086638,0.183986032,0.44273049,0.420660346,51.81032509,0.992437307,0.009740017,675.1897907,5.741959827,1.314494566,0.954557631,25.85149581,0.158773896,-3.484877996,183.9086281,0.981296429,0.00500802
0.3,0.1,-0.066666667,-135,0.222305672,0.217875378,0.764075078,0.966319353,0.043273013,0.228693351,0.209633823,0.773158324,0.971181939,0.040529543,-0.456744138,0.839188464,-10,0.684249303,0.213958797,115.9852018,8.958512329,28.7689279,0.971982207,5.817237702,463.2206722,5.716931676,1.276677453,0.970621941,12.98510423,188.2629112,11.55812334,34.95210375,0.991955634,5.083998389
